Date,Ticker,Close,Shares,MarketCap
2022-07-20 00:00:00-04:00,META,,,
2022-07-20 00:00:00-04:00,AMD,,,
2022-07-20 00:00:00-04:00,BABA,103.95999908447266,2675000064.0,278093004204.4043
2022-07-20 00:00:00-04:00,AMZN,,,
2022-07-20 00:00:00-04:00,AAPL,,,
2022-07-20 00:00:00-04:00,BIDU,,,
2022-07-21 00:00:00-04:00,GOOGL,114.33999633789062,13214000128.0,1510888726244.4062
2022-07-21 00:00:00-04:00,TCEHY,40.687347412109375,9703310336.0,394801958688.34375
2022-07-21 00:00:00-04:00,TSLA,,,
2022-07-21 00:00:00-04:00,MSFT,,,
2022-07-21 00:00:00-04:00,META,,,
2022-07-21 00:00:00-04:00,AMD,,,
2022-07-21 00:00:00-04:00,BABA,105.12999725341797,2705840128.0,284464965224.8281
2022-07-21 00:00:00-04:00,AMZN,,,
2022-07-21 00:00:00-04:00,AAPL,,,
2022-07-21 00:00:00-04:00,BIDU,144.57000732421875,351558016.0,50824744948.00781
2022-07-22 00:00:00-04:00,GOOGL,107.9000015258789,13208399872.0,1425186366343.2188
2022-07-22 00:00:00-04:00,TCEHY,,,
2022-07-22 00:00:00-04:00,TSLA,,,
2022-07-22 00:00:00-04:00,MSFT,,,
2022-07-22 00:00:00-04:00,META,,,
2022-07-22 00:00:00-04:00,AMD,,,
2022-07-22 00:00:00-04:00,BABA,100.61000061035156,2675000064.0,269131758071.73047
2022-07-22 00:00:00-04:00,AMZN,,,
2022-07-22 00:00:00-04:00,AAPL,,,
2022-07-22 00:00:00-04:00,BIDU,140.00999450683594,345551008.0,48380594731.91162
2022-07-26 00:00:00-04:00,GOOGL,105.0199966430664,13210800128.0,1387398185094.7812
2022-07-26 00:00:00-04:00,TCEHY,38.745365142822266,9618350080.0,372666485921.09375
2022-07-26 00:00:00-04:00,TSLA,258.8599853515625,1044489984.0,270376661958.09375
2022-07-26 00:00:00-04:00,MSFT,,,
2022-07-26 00:00:00-04:00,META,,,
2022-07-26 00:00:00-04:00,AMD,,,
2022-07-26 00:00:00-04:00,BABA,101.44000244140625,2686799872.0,272548985575.25
2022-07-26 00:00:00-04:00,AMZN,,,
2022-07-26 00:00:00-04:00,AAPL,,,
2022-07-26 00:00:00-04:00,BIDU,138.1699981689453,346512000.0,47877562405.51758
2022-07-27 00:00:00-04:00,GOOGL,113.05999755859375,13195100160.0,1491837991875.0
2022-07-27 00:00:00-04:00,TCEHY,38.735939025878906,9820680192.0,380413269109.96875
2022-07-27 00:00:00-04:00,TSLA,,,
2022-07-27 00:00:00-04:00,MSFT,,,
2022-07-27 00:00:00-04:00,META,,,
2022-07-27 00:00:00-04:00,AMD,,,
2022-07-27 00:00:00-04:00,BABA,102.77999877929688,2777710080.0,285493038631.6406
2022-07-27 00:00:00-04:00,AMZN,,,
2022-07-27 00:00:00-04:00,AAPL,,,
2022-07-27 00:00:00-04:00,BIDU,141.00999450683594,357356000.0,50390767596.98486
